id,host_since,neighbourhood,city,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating
9526522,2015-11-18,Ward 77,Cape Town,8001,-33.94105,18.41005,House,Entire home/apt,6,2.0,4.0,4.0,Real Bed,1075,,5,1125,0,94.57809342683942
9527088,2015-02-03,Ward 54,Cape Town,8060,-33.91326,18.39021,Apartment,Entire home/apt,4,2.5,2.0,4.0,Real Bed,1593,378.0,3,60,28,92.0
9527140,2014-05-24,Ward 77,Cape Town,8001,-33.93839,18.42079,Apartment,Entire home/apt,2,2.0,1.0,1.0,Real Bed,1145,,5,1125,1,100.0
9534951,2015-11-19,Ward 15,Cape Town,7130,-34.05229,18.8234,House,Private room,2,1.0,1.0,2.0,Real Bed,678,180.0,3,60,0,94.57809342683942
9535056,2015-09-08,Ward 54,Cape Town,8040,-33.95414,18.37868,House,Private room,2,1.0,1.0,1.0,Real Bed,593,300.0,2,1125,0,94.57809342683942
9536130,2015-11-19,Ward 62,Cape Town,7700,-33.97615,18.44713,Villa,Entire home/apt,8,4.0,5.0,7.0,Real Bed,5497,500.0,7,1125,5,96.0
9536242,2015-11-19,Ward 21,Cape Town,7550,-33.85772,18.66385,House,Entire home/apt,7,2.0,4.0,4.0,Real Bed,1497,,9,1125,0,94.57809342683942
9538950,2014-12-29,Ward 57,Cape Town,7700,-33.95963,18.47272,Apartment,Private room,2,1.5,1.0,2.0,Real Bed,247,,2,60,2,100.0
9539019,2015-10-13,Ward 54,Cape Town,8005,-33.94098,18.37707,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,5497,,10,1125,0,94.57809342683942
9541429,2014-10-15,Ward 62,Cape Town,7708,-33.98617,18.44925,Villa,Entire home/apt,10,3.0,4.0,7.0,Real Bed,4292,600.0,180,180,36,98.0
9542900,2013-03-18,Ward 115,Cape Town,8000,-33.9244,18.42046,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,1304,480.0,1,1125,5,88.0
9543800,2015-06-21,Ward 57,Cape Town,7925,-33.9332,18.4653,House,Entire home/apt,4,1.0,1.0,1.0,Real Bed,599,200.0,1,1125,0,94.57809342683942
9544420,2015-11-19,Ward 69,Cape Town,7985,-34.10736,18.39039,Guesthouse,Entire home/apt,6,1.5,3.0,3.0,Real Bed,2996,,7,10,5,96.0
9551802,2013-12-30,Ward 69,Cape Town,7979,-34.10261,18.393,House,Entire home/apt,6,2.5,3.0,3.0,Real Bed,3117,0.0,7,28,0,94.57809342683942
9551986,2015-11-20,Ward 115,Cape Town,7460,-33.90799,18.40141,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,1003,,2,7,1,100.0
9552365,2015-10-26,Ward 1,Cape Town,7500,-33.87539,18.58026,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,644,,2,1125,1,80.0
9552535,2015-11-06,Ward 54,Cape Town,8005,-33.92738,18.37848,Apartment,Entire home/apt,2,2.0,2.0,2.0,Real Bed,6889,451.0,4,1125,0,94.57809342683942
9552600,2013-12-30,Ward 64,Cape Town,7979,-34.12299,18.4163,House,Private room,4,2.5,2.0,2.0,Real Bed,3117,,7,30,0,94.57809342683942
9552640,2015-11-20,Ward 2,Cape Town,7500,-33.88996,18.58328,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,749,150.0,2,1125,0,94.57809342683942
9555456,2015-01-19,Ward 54,Cape Town,8005,-33.9497,18.38045,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,2704,1000.0,2,1125,93,99.0
